Acronimo_t,Acronimo_t_1,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_t,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pago_efectivo_t,Pago_efectivo_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_juegos_t,Porcentaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
CHC,CHC,6.4,6.4,0,0,2019,1,1,0,0,961,121,31,11,0,0,5,7,2,2,121,64,121,64,11,8,11,8,14.578512396694217,10.795918367346937,3.8181818181818183,3.2857142857142856,0.09336419753086421,0.15123456790123457,0.3055555555555556,0.3888888888888889,1.3611111111111114,1.6327160493827158,1.1666666666666667,1.2777777777777777,7.5625,16.0,2.75,4.0,27,26,27,Chicago Cubs,Chicago Cubs,Illinois,723820,589540,1296.0,324.0,36.0,18.0,4,2,9,7,162,163,Alec Mills,0,0,0,0,134280,82040,17,17,205.0,205.0,20,20,0.05555555555555555,0.04294478527607362,RP,RP,0.5185185185185185,0.5828220858895705,1,0,1,0,1764,529,42,23,134280,82040,555000,545000,0.001,0.0,555000,545000,0.0,0.0,0.0,0.0,555000,545000,49325000,215545000,555000,545000,84,95,0.9409,0.0324,0.97,0.18,1.3688999999999998,1.0,1.17,1.0,3,3,121,49,11,7,1,0,1,0,11.80768245109397,13.226723392728571,13.226723392728571
CHW,SEA,6.1,6.1,2021,2021,2019,1,1,0,0,1764,3481,42,59,0,0,3,3,2,1,784,676,361,529,19,23,28,26,5.718336483931947,11.755102040816325,2.391304347826087,3.4285714285714284,0.14216608438591774,0.0953719723183391,0.3770491803278688,0.3088235294117647,0.8129535071217415,1.1211072664359862,0.9016393442622951,1.0588235294117647,7.839999999999999,9.2416,2.8,3.04,30,29,30,Chicago White Sox,Seattle Mariners,Illinois,14358896,7033896,3721.0,4624.0,61.0,68.0,0,0,62,70,161,162,Alex Colome,25,25,5,5,7325000,3803565,6,0,225.0,225.0,9,4,0.38509316770186336,0.43209876543209874,RP,RP,0.4472049689440994,0.5493827160493827,900,144,30,12,3025,5184,55,72,7325000,3803565,7325000,5300000,0.08,0.024,7325000,5300000,5364.097599999999,1605.6049,73.24,40.07,7325000,5300000,24500000,17750000,7325000,5300000,72,89,0.8464,1.439541802564349,0.92,1.1998090692124097,1.1449,1.3923999999999999,1.07,1.18,3,0,529,441,23,21,16,49,4,7,15.806803712867405,15.806803712867405,15.806803712867405
CIN,LAD,6.4,6.4,2020,2020,2019,1,1,1,1,1681,20449,41,143,0,0,1,2,2,5,625,4900,529,3844,23,62,25,70,11.111111111111112,11.390625,3.3333333333333335,3.375,0.06355483369818515,0.06952625246112072,0.25210084033613445,0.2636783124588003,0.7061648188687238,0.7919474694399532,0.8403361344537814,0.889914304548451,33.64,13.5424,5.8,3.68,27,26,28,Cincinnati Reds,Los Angeles Dodgers,Ohio,21032916,11382916,1274.4900000000002,23012.889999999996,35.7,151.7,7,27,7,33,162,163,Alex Wood,9,49,3,7,9650000,6000000,10,25,215.0,215.0,15,32,0.043209876543209874,0.20245398773006135,SP,SP,0.4629629629629629,0.5644171779141104,0,0,0,0,900,18225,30,135,9650000,6000000,9650000,6000000,0.075,0.03,9650000,6000000,0.0,3200.1649,0.0,56.57,9650000,6000000,2000000,4000000,9650000,6000000,75,92,1.3834999818255351,1.3688999999999998,1.1762227602905562,1.17,1.9599999999999997,1.4641,1.4,1.21,5,6,81,1600,9,40,1,81,1,9,16.082468473315167,16.082468473315167,16.082468473315167
MIL,TEX,6.3,6.3,2022,0,2019,1,1,1,1,3249,8281,57,91,0,0,5,4,1,2,841,1225,784,1156,28,34,29,35,3.3611111111111107,9.946745562130177,1.8333333333333333,3.1538461538461537,0.14984391259105098,0.03622807826122374,0.3870967741935484,0.1903367496339678,0.5036420395421437,0.36035147666933204,0.7096774193548387,0.6002928257686677,16.5649,20.070400000000003,4.07,4.48,26,25,27,Milwaukee Brewers,Texas Rangers,Wisconsin,3220542,1945542,3844.0,4664.889999999999,62.0,68.3,0,1,83,66,161,162,Alexander Claudio,4,4,2,2,1275000,568450,1,2,188.0,188.0,6,8,0.515527950310559,0.4074074074074074,RP,RP,0.5527950310559007,0.4135802469135802,0,1,0,1,1936,1681,44,41,1275000,568450,1275000,568450,0.009,0.004,1275000,568450,817.3881,1436.4099999999999,28.59,37.9,1275000,568450,31900000,35000000,1275000,568450,89,67,0.48999999999999994,0.9409,0.7,0.97,1.7161000000000002,2.3104,1.31,1.52,0,0,576,169,24,13,4,16,2,4,14.058456736574664,14.058456736574664,14.058456736574664
STL,STL,6.4,6.4,0,0,2019,1,1,0,0,4,9,2,3,0,0,1,3,2,2,25,0,25,0,5,0,5,0,0.027777777777777776,1.0,0.16666666666666666,1.0,4.0,0.25,2.0,0.5,0.1111111111111111,0.25,0.3333333333333333,0.5,225.0,0.0,15.0,0.0,24,23,24,St. Louis Cardinals,St. Louis Cardinals,Missouri,2213465,2183115,9.0,16.0,3.0,4.0,0,1,4,1,162,162,Alexander Reyes,1,0,1,0,30350,545600,23,23,220.0,220.0,29,28,0.024691358024691357,0.006172839506172839,RP,RP,0.5617283950617284,0.5432098765432098,0,0,0,0,1,4,1,2,30350,545600,564600,545600,0.0,0.003,564600,545600,0.0,0.0,0.0,0.0,564600,545600,25000000,28000000,564600,545600,91,88,1.3834999818255351,0.0961,1.1762227602905562,0.31,7.1289,1.5625,2.67,1.25,11,11,36,4,6,2,0,0,0,0,10.320551796487644,13.243872794801526,13.243872794801526
CHC,CHC,6.2,6.2,0,2019,2019,1,1,1,1,196,4,14,2,0,0,5,7,2,2,49,4,36,4,6,2,7,2,3.24,9.0,1.8,3.0,0.20661157024793386,0.1111111111111111,0.45454545454545453,0.3333333333333333,0.6694214876033059,1.0,0.8181818181818182,1.0,24.1081,36.0,4.91,6.0,28,27,29,Chicago Cubs,Chicago Cubs,Illinois,1136456,486456,121.0,9.0,11.0,3.0,0,0,12,3,162,163,Allen Webster,0,0,0,0,650000,35160,17,17,190.0,190.0,20,20,0.07407407407407407,0.018404907975460124,SP,SP,0.5185185185185185,0.5828220858895705,1,0,1,0,81,9,9,3,618615,35160,650000,545000,0.003,0.0,650000,545000,0.0,0.0,0.0,0.0,650000,545000,49325000,215545000,650000,545000,84,95,1.3834999818255351,1.439541802564349,1.1762227602905562,1.1998090692124097,2.9929,1.0,1.73,1.0,3,3,25,1,5,1,0,1,0,1,13.33523838724174,13.38472764187182,13.38472764187182
CIN,CIN,6.5,6.5,0,0,2019,1,1,1,1,1936,3136,44,56,0,0,1,3,2,2,484,900,400,900,20,30,22,30,4.966530612244898,8.0656,2.2285714285714286,2.84,0.390625,0.15747039556563364,0.625,0.3968253968253968,1.9400510204081631,1.2700932224741748,1.3928571428571428,1.126984126984127,10.3041,18.4041,3.21,4.29,26,25,27,Cincinnati Reds,Cincinnati Reds,Ohio,2393108,1825608,3136.0,3969.0,56.0,63.0,0,0,69,66,162,162,Amir Garrett,9,4,3,2,567500,545000,10,10,239.0,239.0,15,15,0.42592592592592593,0.4074074074074074,RP,RP,0.4629629629629629,0.4135802469135802,0,0,0,0,6084,5041,78,71,567500,545000,567500,545000,0.004,0.005,567500,545000,2795.2369,974.0641,52.87,31.21,567500,545000,2000000,10250000,567500,545000,75,67,1.9320999999999997,0.31360000000000005,1.39,0.56,1.9880999999999998,1.6641000000000001,1.41,1.29,5,5,1225,625,35,25,25,1,5,1,13.248996028337695,13.248996028337695,13.248996028337695
ARI,ARI,6.2,6.2,2021,2021,2019,1,1,1,1,2704,1681,52,41,0,0,4,2,1,1,529,324,484,289,22,17,23,18,14.271604938271604,4.494400000000001,3.7777777777777777,2.12,0.11666048558126807,0.2571497928401269,0.3415559772296015,0.5070993914807302,1.6649323621227887,1.1557340289406666,1.2903225806451613,1.0750507099391482,14.137599999999999,9.610000000000001,3.76,3.1,28,27,29,Arizona Diamondbacks,Arizona Diamondbacks,Arizona,5631184,3686184,2777.2900000000004,2430.49,52.7,49.3,0,0,78,77,162,162,Andrew Chafin,4,36,2,6,1945000,1195000,1,1,235.0,235.0,6,6,0.48148148148148145,0.47530864197530864,RP,RP,0.5246913580246914,0.5061728395061729,0,0,0,0,4624,2809,68,53,1945000,1195000,1945000,1195000,0.016,0.008,1945000,1195000,1609.6143999999997,2154.8164,40.12,46.42,1945000,1195000,11600000,15750000,1945000,1195000,85,82,0.5476,0.6561000000000001,0.74,0.81,1.7689000000000001,1.7956000000000003,1.33,1.34,1,1,324,625,18,25,4,1,2,1,14.480772535034683,14.480772535034683,14.480772535034683
LAA,LAA,6.2,6.2,0,0,2019,1,1,1,1,8649,29241,93,171,0,0,4,3,5,5,2809,8281,2704,6889,52,83,53,91,15.47111111111111,16.0,3.933333333333333,4.0,0.09909613315877733,0.0625,0.3147953830010493,0.25,1.5331272867809065,1.0,1.2381951731374607,1.0,24.1081,17.222500000000004,4.91,4.15,27,26,28,Los Angeles Angels,Los Angeles Angels,California,8267905,4867905,9082.09,32400.0,95.3,180.0,18,30,18,30,161,162,Andrew Heaney,36,100,6,10,3400000,800000,1,1,200.0,200.0,10,10,0.11180124223602485,0.18518518518518517,SP,SP,0.4472049689440994,0.4938271604938271,0,0,0,0,13924,32400,118,180,3400000,800000,3400000,800000,0.021,0.005,3400000,800000,1406.25,3900.0025000000005,37.5,62.45,3400000,800000,31000000,42800000,3400000,800000,72,80,1.5625,3.8415999999999997,1.25,1.96,1.6641000000000001,1.44,1.29,1.2,1,1,900,2025,30,45,16,81,4,9,15.03928598958639,15.03928598958639,15.03928598958639
TB,TB,6.1,6.1,2025,0,2019,1,1,1,1,2601,2916,51,54,0,0,2,2,2,2,625,1156,529,1089,23,33,25,34,23.361111111111107,3.1141868512110724,4.833333333333333,1.7647058823529411,0.058297470942354324,0.19701545446488836,0.2414486921529175,0.4438642297650131,1.3618936961811106,0.613542937779929,1.1670020120724345,0.783289817232376,17.3889,60.0625,4.17,7.75,28,27,29,Tampa Bay Rays,Tampa Bay Rays,Florida,716062,405726,2470.09,1466.8899999999999,49.7,38.3,7,3,37,33,161,162,Andrew Kittredge,0,4,0,2,310336,288806,1,1,230.0,230.0,5,4,0.22981366459627328,0.2037037037037037,RP,RP,0.5962732919254659,0.5555555555555556,0,0,0,0,3364,900,58,30,310336,288806,555000,548100,0.005,0.004,555000,548100,0.0,0.0,0.0,0.0,555000,548100,33500000,6500000,555000,548100,96,90,0.10890000000000001,1.439541802564349,0.33,1.1998090692124097,1.6129,3.4225000000000003,1.27,1.85,0,0,144,289,12,17,1,9,1,3,12.645410860465024,13.226723392728571,13.226723392728571
SF,SF,6.0,6.0,2024,0,2019,1,1,0,0,1521,26569,39,163,0,0,2,2,5,5,529,7225,441,6400,21,80,23,85,3.188775510204082,8.345679012345679,1.7857142857142858,2.888888888888889,0.18329919853360638,0.07880576383410862,0.4281345565749235,0.280723643169058,0.5844999953239999,0.6576876092821903,0.7645259938837919,0.8109794135995009,33.5241,20.160100000000003,5.79,4.49,26,25,26,San Francisco Giants,San Francisco Giants,California,1646274,1464250,1069.2900000000002,25696.090000000004,32.7,160.3,2,29,21,29,161,162,Andrew Suarez,4,169,2,13,182024,454150,23,23,187.0,187.0,26,26,0.13043478260869565,0.17901234567901234,RP,SP,0.4782608695652174,0.4506172839506173,0,0,0,0,625,16900,25,130,182024,454150,555000,545000,0.001,0.002,555000,545000,0.0,2183.6928999999996,0.0,46.73,555000,545000,8500000,11500000,555000,545000,77,73,1.3834999818255351,0.7744,1.1762227602905562,0.88,2.6244000000000005,1.6900000000000002,1.62,1.3,8,8,196,2025,14,45,0,49,0,7,12.111893825496963,13.226723392728571,13.226723392728571
