Acronimo_t,Acronimo_t_1,Agente_libre,Altura_t,Altura_t_1,Anio_de_agente_libre_t,Anio_de_agente_libre_t_1,Anio_t,Anios_de_contrato_t,Anios_de_contrato_t_1,Antiguedad_t,Antiguedad_t_1,Bateos_2_t,Bateos_2_t_1,Bateos_t,Bateos_t_1,Bono_por_firma_t,Bono_por_firma_t_1,Cantidad_agentes_libres_t,Cantidad_agentes_libres_t_1,Cantidad_de_equipos_t,Cantidad_de_equipos_t_1,Carreras_2_t,Carreras_2_t_1,Carreras_ganadas_2_t,Carreras_ganadas_2_t_1,Carreras_ganadas_t,Carreras_ganadas_t_1,Carreras_t,Carreras_t_1,Comando_2_t,Comando_2_t_1,Comando_t,Comando_t_1,Control_2_t,Control_2_t_1,Control_t,Control_t_1,Dominio_2_t,Dominio_2_t_1,Dominio_t,Dominio_t_1,ERA_2_t,ERA_2_t_1,ERA_t,ERA_t_1,Edad_al_firmar_t,Edad_al_firmar_t_1,Edad_t,Equipo_t,Equipo_t_1,Estado_t,Ganancias_t,Ganancias_t_1,Inning_pitched_2_t,Inning_pitched_2_t_1,Inning_pitched_t,Inning_pitched_t_1,Juegos_iniciados_t,Juegos_iniciados_t_1,Juegos_t,Juegos_t_1,Juegos_totales_t,Juegos_totales_t_1,Jugador,Losses_2_t,Losses_2_t_1,Losses_t,Losses_t_1,Pago_efectivo_t,Pago_efectivo_t_1,Pennants_won_t,Pennants_won_t_1,Peso_t,Peso_t_1,Playoffs_t,Playoffs_t_1,Porcentaje_juegos_t,Porcentaje_juegos_t_1,Posicion_t,Posicion_t_1,Promedio_victorias_t,Promedio_victorias_t_1,Saves_2_t,Saves_2_t_1,Saves_t,Saves_t_1,Strike_outs_2_t,Strike_outs_2_t_1,Strike_outs_t,Strike_outs_t_1,Sueldo_ajustado_t,Sueldo_ajustado_t_1,Sueldo_base_t,Sueldo_base_t_1,Sueldo_porcentual_t,Sueldo_porcentual_t_1,Sueldo_regular_t,Sueldo_regular_t_1,TVS_2_t,TVS_2_t_1,TVS_t,TVS_t_1,Valor_contrato_promedio_t,Valor_contrato_promedio_t_1,Valor_contrato_total_t,Valor_contrato_total_t_1,Valor_del_contrato_t,Valor_del_contrato_t_1,Victorias_t,Victorias_t_1,WAR_2_t,WAR_2_t_1,WAR_t,WAR_t_1,WHIP_2_t,WHIP_2_t_1,WHIP_t,WHIP_t_1,WS_ganadas_t,WS_ganadas_t_1,Walks_2_t,Walks_2_t_1,Walks_t,Walks_t_1,Wins_2_t,Wins_2_t_1,Wins_t,Wins_t_1,ln_Sueldo_ajustado_t,ln_Sueldo_base_t,ln_Sueldo_regular_t
MIN,CHW,Si,6.1,6.1,2023,2021,2021,1,1,0,0,4624,169,68,13,0,0,6,5,1,2,1681,9,900,4,30,2,41,3,6.359168241965974,4.0,2.5217391304347827,2.0,0.125207100591716,0.12869754067043374,0.35384615384615387,0.35874439461883406,0.7962130177514793,0.5147901626817349,0.8923076923076924,0.7174887892376681,17.222500000000004,0.6561000000000001,4.15,0.81,32,31,32,Minnesota Twins,Chicago White Sox,Minnesota,24509822,18259822,4225.0,497.29,65.0,22.3,0,0,67,21,163,60,Alex Colome,16,0,4,0,5000000,3900926,6,6,225.0,225,17,10,0.4110429447852761,0.35,RP,RP,0.4478527607361963,0.5833333333333334,289,144,17,12,3364,256,58,16,5000000,3900926,5000000,10532500,0.042,0.073,5000000,10532500,58.216899999999995,8071.225600000001,7.63,89.84,6250000,10532500,41750000,151500000,6250000,10532500,73,35,1.5011196963456546,0.9409,1.22520190023753,0.97,1.9599999999999997,0.8835999999999999,1.4,0.94,3,3,529,64,23,8,16,4,4,2,15.424948470398375,15.424948470398375,15.424948470398375
SF,LAD,Si,6.4,6.4,0,0,2021,1,1,1,1,15625,289,125,17,0,0,8,4,5,5,3969,121,3481,81,59,9,63,11,15.19000657462196,6.25,3.8974358974358974,2.5,0.0790635466108457,0.22320044640089284,0.281182408074982,0.4724409448818898,1.200975792831676,1.3950027900055804,1.0958904109589043,1.1811023622047245,14.6689,40.96000000000001,3.83,6.4,29,28,30,San Francisco Giants,Los Angeles Dodgers,California,27514397,22514397,19237.689999999995,161.29,138.7,12.7,26,2,26,9,163,59,Alex Wood,16,1,4,1,5000000,1481481,23,25,215.0,215,27,34,0.15950920245398773,0.15254237288135594,SP,RP,0.6625766871165644,0.711864406779661,0,0,0,0,23104,225,152,15,5000000,1481481,3000000,4000000,0.029,0.012,5000000,4000000,4643.0596000000005,0.0,68.14,0.0,3000000,4000000,36200000,15813500,3000000,4000000,108,42,2.6569,0.38616860499155536,1.63,0.6214246575342464,1.3923999999999999,3.3124000000000002,1.18,1.82,8,7,1521,36,39,6,100,0,10,0,15.424948470398375,14.914122846632385,15.424948470398375
STL,STL,No,6.4,6.4,2024,2024,2021,1,1,0,0,2116,196,46,14,0,0,2,2,2,2,1024,100,676,49,26,7,32,10,3.3376479289940826,3.719387755102041,1.8269230769230769,1.9285714285714286,0.5172852472313569,0.5050374913035637,0.719225449515906,0.7106598984771574,1.7265160341209307,1.8784302610219281,1.313969571230982,1.3705583756345179,10.497600000000002,10.240000000000002,3.24,3.2,26,25,26,St. Louis Cardinals,St. Louis Cardinals,Missouri,3285131,2385131,5227.29,388.09,72.3,19.7,0,1,70,15,161,58,Alexander Reyes,64,1,8,1,900000,171666,23,23,220.0,220,31,30,0.43478260869565216,0.25862068965517243,RP,RP,0.5527950310559007,0.5172413793103449,841,1,29,1,9025,729,95,27,900000,171666,900000,575000,0.006,0.002,900000,575000,6525.4084,0.0,80.78,0.0,900000,575000,17000000,7000000,900000,575000,89,30,0.4096,0.38616860499155536,0.64,0.6214246575342464,1.8496000000000004,2.0164,1.36,1.42,11,11,2704,196,52,14,100,4,10,2,13.710150042306449,13.710150042306449,13.710150042306449
CIN,CIN,No,6.5,6.5,2024,2024,2021,1,1,1,1,2116,100,46,10,0,0,1,4,2,2,1156,25,1024,25,32,5,34,5,4.42449464922711,13.795918367346939,2.103448275862069,3.7142857142857144,0.36962321286517313,0.14631670100630056,0.6079664570230607,0.3825136612021858,1.635395927552092,2.0185732628624327,1.2788259958071277,1.4207650273224044,36.4816,6.0516,6.04,2.46,28,27,29,Cincinnati Reds,Cincinnati Reds,Ohio,4113478,2613478,2275.2900000000004,334.89000000000004,47.7,18.3,0,0,63,21,163,59,Amir Garrett,16,0,4,0,1500000,220370,10,10,239.0,239,16,16,0.38650306748466257,0.3559322033898305,RP,RP,0.50920245398773,0.5254237288135594,49,1,7,1,3721,676,61,26,1500000,220370,1500000,595000,0.012,0.004,1500000,595000,10.240000000000002,4266.702399999999,3.2,65.32,1500000,595000,1500000,144825000,1500000,595000,83,31,1.5011196963456546,0.2916,1.22520190023753,0.54,2.4649,0.8649000000000001,1.57,0.93,5,5,841,49,29,7,0,1,0,1,14.22097566607244,14.22097566607244,14.22097566607244
OAK,CHC,Si,6.2,6.2,2023,2021,2021,1,1,1,1,2025,121,45,11,0,0,5,4,5,2,196,49,196,49,14,7,14,7,11.346260387811633,6.760000000000001,3.3684210526315788,2.6,0.07648807442861714,0.26570305027101715,0.2765647743813683,0.5154639175257733,0.8678536090294066,1.796152619832076,0.9315866084425036,1.3402061855670104,3.3856,42.5104,1.84,6.52,30,29,31,Oakland Athletics,Chicago Cubs,California,10008962,6758962,4719.6900000000005,94.08999999999999,68.7,9.7,0,0,71,15,162,58,Andrew Chafin,16,4,4,2,1322596,471324,15,17,235.0,235,29,21,0.4382716049382716,0.25862068965517243,RP/CL,RP/CL,0.5308641975308642,0.5517241379310345,25,1,5,1,4096,169,64,13,822596,471324,2250000,3045000,0.009,0.005,2750000,3045000,6356.8729,0.0,79.73,0.0,2750000,3045000,21300000,2650000,2750000,3045000,86,32,2.1904,0.38616860499155536,1.48,0.6214246575342464,0.8649000000000001,2.7224999999999997,0.93,1.65,9,3,361,25,19,5,4,1,2,1,13.620220472135955,14.626440774180603,14.827111469642754
STL,STL,No,6.7,6.7,2021,2021,2021,2,2,4,3,1681,81,41,9,0,0,2,2,2,2,361,16,361,16,19,4,19,4,6.25,10.240000000000002,2.5,3.2,0.19753086419753085,0.14792899408284024,0.4444444444444444,0.38461538461538464,1.234567901234568,1.5147928994082842,1.1111111111111112,1.2307692307692308,22.5625,7.6729,4.75,2.77,32,32,36,St. Louis Cardinals,St. Louis Cardinals,Missouri,78004603,66004603,1296.0,169.0,36.0,13.0,0,0,40,16,161,58,Andrew Miller,0,1,0,1,12000000,4296259,23,23,200.0,200,31,30,0.2484472049689441,0.27586206896551724,RP,RP,0.5527950310559007,0.5172413793103449,0,16,0,4,1600,256,40,16,12000000,4296259,12000000,11500000,0.079,0.059,12000000,11537000,0.0,0.0,0.0,0.0,12500000,12500000,17000000,7000000,25000000,25000000,89,30,1.5011196963456546,0.019600000000000003,1.22520190023753,0.14,2.4964000000000004,1.1664,1.58,1.08,11,11,256,25,16,5,0,1,0,1,16.300417207752275,16.300417207752275,16.300417207752275
MIA,TOR,Si,6.2,6.2,2024,2021,2021,2,1,0,0,3025,289,55,17,0,0,2,3,2,1,1089,169,676,100,26,10,33,13,5.840277777777777,5.4444444444444455,2.4166666666666665,2.3333333333333335,0.15328566220204437,0.12263622462111465,0.3915171288743883,0.3501945525291829,0.8952308466105509,0.6676861118260685,0.9461663947797717,0.8171206225680934,14.5924,12.320099999999998,3.82,3.51,33,32,33,Miami Marlins,Toronto Blue Jays,Florida,4806283,3806283,3757.6899999999996,660.49,61.3,25.7,1,0,70,26,162,61,Anthony Bass,81,9,9,3,1000000,555556,2,2,200.0,200,3,8,0.43209876543209874,0.4262295081967213,RP,RP,0.4135802469135802,0.5245901639344263,0,49,0,7,3364,441,58,21,1000000,555556,1000000,1500000,0.017,0.01,1000000,1500000,155.7504,8101.800100000001,12.48,90.01,2500000,1500000,10000000,108000000,5000000,1500000,67,32,0.0081,0.3721,0.09,0.61,1.6641000000000001,1.0201,1.29,1.01,2,2,576,81,24,9,9,4,3,2,13.815510557964274,13.815510557964274,13.815510557964274
SF,CIN,Si,6.1,6.1,0,0,2021,1,1,1,1,19881,1681,141,41,0,0,8,4,5,2,3721,729,3481,729,59,27,61,27,13.097505668934241,2.44140625,3.619047619047619,1.5625,0.06272381360786737,0.22541362519701674,0.25044722719141327,0.4747774480712166,0.8215255043062175,0.5503262333911543,0.9063804412641623,0.7418397626112759,10.0489,52.1284,3.17,7.22,30,29,31,San Francisco Giants,Cincinnati Reds,California,10374847,7249847,28123.289999999997,1135.6900000000003,167.7,33.7,31,7,34,9,163,59,Anthony DeSclafani,49,4,7,2,3125000,2212963,23,10,195.0,195,27,16,0.2085889570552147,0.15254237288135594,SP,RP,0.6625766871165644,0.5254237288135594,0,0,0,0,23104,625,152,25,6125000,2212963,6000000,5900000,0.036,0.04,6125000,5900000,7811.024399999999,0.0,88.38,0.0,6000000,5900000,36200000,144825000,6000000,5900000,108,31,17.3889,0.38616860499155536,4.17,0.6214246575342464,1.1881000000000002,2.8560999999999996,1.09,1.69,8,5,1764,256,42,16,169,1,13,1,15.627889314395064,15.60727002719233,15.627889314395064
LAD,LAD,No,6.3,6.3,0,0,2021,1,1,1,1,1681,1024,41,32,0,0,7,4,5,5,400,169,400,144,20,12,20,13,3.6548442906574397,43.18367346938775,1.911764705882353,6.571428571428571,0.37260394070569114,0.022467891548863077,0.6104129263913823,0.14989293361884368,1.3618093853646585,0.9702460921917196,1.1669658886894074,0.9850107066381155,10.4329,5.3361,3.23,2.31,26,25,27,Los Angeles Dodgers,Los Angeles Dodgers,California,1295216,714716,3102.4900000000002,2180.8900000000003,55.7,46.7,13,8,17,9,162,59,Anthony Gonsolin,1,4,1,2,580500,566000,25,25,205.0,205,35,34,0.10493827160493827,0.15254237288135594,RP,SP,0.654320987654321,0.711864406779661,0,0,0,0,4225,2116,65,46,580500,115773,580500,566000,0.002,0.001,580500,566000,0.0,8537.76,0.0,92.4,580500,566000,160320500,15813500,580500,566000,106,42,1.3224999999999998,2.1025,1.15,1.45,1.8225000000000002,0.7055999999999999,1.35,0.84,7,7,1156,49,34,7,16,4,4,2,13.271645080120082,13.271645080120082,13.271645080120082
SEA,SEA,No,6.1,6.1,0,0,2021,1,1,0,0,3721,400,61,20,0,0,4,4,1,1,900,81,784,81,28,9,30,9,12.484444444444444,17.361111111111114,3.533333333333333,4.166666666666667,0.07519827277922789,0.09,0.2742230347349177,0.3,0.9388086588304495,1.5625,0.9689213893967092,1.25,21.252100000000002,16.4025,4.61,4.05,26,25,26,Seattle Mariners,Seattle Mariners,Washington,857403,278703,2992.09,400.0,54.7,20.0,0,0,66,21,162,61,Anthony Misiewicz,25,4,5,2,578700,208703,0,0,200.0,200,4,4,0.4074074074074074,0.3442622950819672,RP,RP,0.5555555555555556,0.4426229508196721,0,0,0,0,2809,625,53,25,578700,208704,578700,563500,0.007,0.004,578700,563500,414.52959999999996,23.716900000000003,20.36,4.87,578700,563500,16300000,6550000,578700,563500,90,27,0.04000000000000001,0.0225,0.2,0.15,1.9320999999999997,1.6900000000000002,1.39,1.3,0,0,225,36,15,6,25,0,5,0,13.268539487561931,13.268539487561931,13.268539487561931
PHI,CIN,Si,6.4,6.4,2022,2022,2021,1,1,0,0,2601,289,51,17,0,0,6,4,2,2,576,36,441,36,21,6,24,6,3.305785123966942,36.0,1.8181818181818181,6.0,0.186082276047674,0.026874496103198062,0.43137254901960786,0.16393442622950818,0.6151480199923106,0.9674818597151303,0.7843137254901961,0.9836065573770492,13.7641,8.7025,3.71,2.95,28,27,28,Philadelphia Phillies,Cincinnati Reds,Pennsylvania,16226033,10226033,2601.0,334.89000000000004,51.0,18.3,0,0,53,16,162,59,Archie Bradley,9,0,3,0,6000000,534592,7,10,215.0,215,14,16,0.3271604938271605,0.2711864406779661,RP,RP,0.5061728395061729,0.5254237288135594,4,36,2,6,1600,324,40,18,6000000,534592,6000000,4100000,0.03,0.01,6000000,4100000,336.3556,0.0,18.34,0.0,6000000,4100000,158800000,144825000,6000000,4100000,82,31,0.4624000000000001,0.0324,0.68,0.18,2.0448999999999997,1.1881000000000002,1.43,1.09,2,5,484,9,22,3,49,4,7,2,15.60727002719233,15.60727002719233,15.60727002719233
